command,entityType,numberOfInsertions,date
insertion,Diagnostic,2,Wed May 25 19:01:46 EEST 2022
create Table,triaj,0,Wed May 25 19:01:46 EEST 2022
insert,triaj,1,Wed May 25 19:01:46 EEST 2022
insert,triaj,1,Wed May 25 19:01:46 EEST 2022
insert,triaj,1,Wed May 25 19:01:46 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:06:00 EEST 2022
create Table,triaj,0,Wed May 25 19:06:00 EEST 2022
insert,triaj,1,Wed May 25 19:06:00 EEST 2022
insert,triaj,1,Wed May 25 19:06:00 EEST 2022
insert,triaj,1,Wed May 25 19:06:00 EEST 2022
getById,triaj,0,Wed May 25 19:06:00 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:06:23 EEST 2022
create Table,triaj,0,Wed May 25 19:06:23 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:07:12 EEST 2022
create Table,triaj,0,Wed May 25 19:07:12 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:07:12 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:07:20 EEST 2022
create Table,triaj,0,Wed May 25 19:07:20 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:07:20 EEST 2022
getById,triaj,0,Wed May 25 19:07:20 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:07:30 EEST 2022
create Table,triaj,0,Wed May 25 19:07:31 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:07:31 EEST 2022
getById,triaj,0,Wed May 25 19:07:31 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:07:53 EEST 2022
create Table,triaj,0,Wed May 25 19:07:53 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:07:53 EEST 2022
getById,triaj,0,Wed May 25 19:07:53 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:09:04 EEST 2022
create Table,asigurare,0,Wed May 25 19:09:04 EEST 2022
insert,asigurare,1,Wed May 25 19:09:04 EEST 2022
insert,asigurare,1,Wed May 25 19:09:04 EEST 2022
getById,asigurare,0,Wed May 25 19:09:04 EEST 2022
getAll,asigurare,0,Wed May 25 19:09:04 EEST 2022
updateTip,asigurare,0,Wed May 25 19:09:04 EEST 2022
updateTip,asigurare,0,Wed May 25 19:09:04 EEST 2022
updateDataExpirare,asigurare,0,Wed May 25 19:09:04 EEST 2022
getById,asigurare,0,Wed May 25 19:09:04 EEST 2022
create Table,diagnostic,0,Wed May 25 19:09:04 EEST 2022
insert,diagnostic,1,Wed May 25 19:09:04 EEST 2022
insert,diagnostic,1,Wed May 25 19:09:04 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:10:24 EEST 2022
create Table,asigurare,0,Wed May 25 19:10:24 EEST 2022
insert,asigurare,1,Wed May 25 19:10:24 EEST 2022
insert,asigurare,1,Wed May 25 19:10:24 EEST 2022
getById,asigurare,0,Wed May 25 19:10:24 EEST 2022
getAll,asigurare,0,Wed May 25 19:10:24 EEST 2022
updateTip,asigurare,0,Wed May 25 19:10:24 EEST 2022
updateTip,asigurare,0,Wed May 25 19:10:24 EEST 2022
updateDataExpirare,asigurare,0,Wed May 25 19:10:24 EEST 2022
getById,asigurare,0,Wed May 25 19:10:24 EEST 2022
create Table,diagnostic,0,Wed May 25 19:10:24 EEST 2022
insert,diagnostic,1,Wed May 25 19:10:24 EEST 2022
insert,diagnostic,1,Wed May 25 19:10:24 EEST 2022
create Table,cabinet,0,Wed May 25 19:10:24 EEST 2022
insert,cabinet,1,Wed May 25 19:10:24 EEST 2022
insert,cabinet,1,Wed May 25 19:10:24 EEST 2022
updateHasBed,cabinet,0,Wed May 25 19:10:24 EEST 2022
getById,cabinet,0,Wed May 25 19:10:24 EEST 2022
create Table,triaj,0,Wed May 25 19:10:24 EEST 2022
insert,triaj,1,Wed May 25 19:10:24 EEST 2022
insert,triaj,1,Wed May 25 19:10:24 EEST 2022
insert,triaj,1,Wed May 25 19:10:24 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:10:24 EEST 2022
getById,triaj,0,Wed May 25 19:10:24 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:11:05 EEST 2022
create Table,asigurare,0,Wed May 25 19:11:06 EEST 2022
insert,asigurare,1,Wed May 25 19:11:06 EEST 2022
insert,asigurare,1,Wed May 25 19:11:06 EEST 2022
getById,asigurare,0,Wed May 25 19:11:06 EEST 2022
getAll,asigurare,0,Wed May 25 19:11:06 EEST 2022
updateTip,asigurare,0,Wed May 25 19:11:06 EEST 2022
updateTip,asigurare,0,Wed May 25 19:11:06 EEST 2022
updateDataExpirare,asigurare,0,Wed May 25 19:11:06 EEST 2022
getById,asigurare,0,Wed May 25 19:11:06 EEST 2022
create Table,diagnostic,0,Wed May 25 19:11:06 EEST 2022
insert,diagnostic,1,Wed May 25 19:11:06 EEST 2022
insert,diagnostic,1,Wed May 25 19:11:06 EEST 2022
create Table,cabinet,0,Wed May 25 19:11:06 EEST 2022
insert,cabinet,1,Wed May 25 19:11:06 EEST 2022
insert,cabinet,1,Wed May 25 19:11:06 EEST 2022
updateHasBed,cabinet,0,Wed May 25 19:11:06 EEST 2022
getById,cabinet,0,Wed May 25 19:11:06 EEST 2022
create Table,triaj,0,Wed May 25 19:11:06 EEST 2022
insert,triaj,1,Wed May 25 19:11:06 EEST 2022
insert,triaj,1,Wed May 25 19:11:06 EEST 2022
insert,triaj,1,Wed May 25 19:11:06 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:11:06 EEST 2022
getById,triaj,0,Wed May 25 19:11:06 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:15:17 EEST 2022
delete,asigurare,-1,Wed May 25 19:15:17 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:17:17 EEST 2022
delete,diagnostic,-1,Wed May 25 19:17:17 EEST 2022
delete,cabinet,-1,Wed May 25 19:17:17 EEST 2022
delete,cabinet,-1,Wed May 25 19:17:17 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:17:24 EEST 2022
delete,diagnostic,-1,Wed May 25 19:17:25 EEST 2022
delete,cabinet,-1,Wed May 25 19:17:25 EEST 2022
delete,triaj,-1,Wed May 25 19:17:25 EEST 2022
insertion,Diagnostic,2,Wed May 25 19:20:32 EEST 2022
create Table,asigurare,0,Wed May 25 19:20:32 EEST 2022
insert,asigurare,1,Wed May 25 19:20:32 EEST 2022
insert,asigurare,1,Wed May 25 19:20:32 EEST 2022
getById,asigurare,0,Wed May 25 19:20:32 EEST 2022
getAll,asigurare,0,Wed May 25 19:20:32 EEST 2022
delete,asigurare,-1,Wed May 25 19:20:32 EEST 2022
updateTip,asigurare,0,Wed May 25 19:20:32 EEST 2022
updateTip,asigurare,0,Wed May 25 19:20:32 EEST 2022
updateDataExpirare,asigurare,0,Wed May 25 19:20:32 EEST 2022
getById,asigurare,0,Wed May 25 19:20:32 EEST 2022
create Table,diagnostic,0,Wed May 25 19:20:32 EEST 2022
insert,diagnostic,1,Wed May 25 19:20:32 EEST 2022
insert,diagnostic,1,Wed May 25 19:20:32 EEST 2022
delete,diagnostic,-1,Wed May 25 19:20:32 EEST 2022
create Table,cabinet,0,Wed May 25 19:20:32 EEST 2022
insert,cabinet,1,Wed May 25 19:20:32 EEST 2022
insert,cabinet,1,Wed May 25 19:20:32 EEST 2022
updateHasBed,cabinet,0,Wed May 25 19:20:32 EEST 2022
getById,cabinet,0,Wed May 25 19:20:32 EEST 2022
delete,cabinet,-1,Wed May 25 19:20:32 EEST 2022
create Table,triaj,0,Wed May 25 19:20:32 EEST 2022
insert,triaj,1,Wed May 25 19:20:32 EEST 2022
insert,triaj,1,Wed May 25 19:20:32 EEST 2022
insert,triaj,1,Wed May 25 19:20:32 EEST 2022
updateSefTriaj,triaj,0,Wed May 25 19:20:32 EEST 2022
getById,triaj,0,Wed May 25 19:20:32 EEST 2022
delete,triaj,-1,Wed May 25 19:20:32 EEST 2022
